"Location","Price","m2","p/m2","Date","Text","hl"
"Gdańsk, Pieck",729000,73.0,9986.301369863013,"Migowo - 21 kwietnia 2025","Duże Mieszkanie Dla Rodziny","https://www.otodom.pl/pl/oferta/duze-mieszkanie-dla-rodziny-ID4rRgQ.html"
"Gdańsk",619900,62.0,9998.387096774193," Odświeżono dnia 24 kwietnia 2025","Tylko u Nas - ostatnie 4pok. /balkon/siłownia/hala","https://www.otodom.pl/pl/oferta/tylko-u-nas-ostatnie-4pok-balkon-silownia-hala-ID4wnEB.html"
"Gdańsk, Jasień",631000,63.11,9998.415465061005," 28 kwietnia 2025","3-pokojowe mieszkanie 63m2 + balkon","https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-63m2-balkon-ID4uo1U.html"
"Gdańsk, Jasień",800000,80.0,10000.0," 07 marca 2025","M. dwupoziomowe z miejscem w hali garażowej","https://www.otodom.pl/pl/oferta/m-dwupoziomowe-z-miejscem-w-hali-garazowej-ID40AGM.html"
"Gdańsk",728000,72.8,10000.0," 30 kwietnia 2025","Mieszkanie 72,8 m2-3 pokoje. Do zaaranżowania na mieszkanie 4 pokojowe","https://www.otodom.pl/pl/oferta/mieszkanie-72-8-m2-3-pokoje-do-zaaranzowania-na-mieszkanie-4-pokojowe-ID4vbA1.html"
"Gdańsk, Jasień",925000,92.48,10002.162629757786," 23 kwietnia 2025","Duży dom z ogrodem i garażem w Gdańsku","https://www.otodom.pl/pl/oferta/duzy-dom-z-ogrodem-i-garazem-w-gdansku-ID4v4Ue.html"
"Gdańsk",401340,40.1,10008.478802992518," 23 kwietnia 2025","‼️12 min od Starówki - Dni Otwarte‼️ Hala Garażowa","https://www.otodom.pl/pl/oferta/12-min-od-starowki-dni-otwarte-hala-garazowa-ID4v5c9.html"
"Gdańsk",400850,40.01,10018.745313671583," 15 kwietnia 2025","‼️Dni Otwarte‼️Hala Garażowa‼️ 12min od Centrum‼️","https://www.otodom.pl/pl/oferta/dni-otwartehala-garazowa-12min-od-centrum-ID4wYUL.html"
"Gdańsk",401760,40.08,10023.952095808383," Odświeżono Dzisiaj o 05:44","‼️Słoneczne 2 pokoje_ 12 min od Centrum‼️","https://www.otodom.pl/pl/oferta/sloneczne-2-pokoje-12-min-od-centrum-ID4v6nJ.html"
"Gdańsk",423500,42.11,10056.993588221325," Odświeżono dnia 28 kwietnia 2025","✨2 pokoje + Parking Gratis✨ 12 min od Centrum","https://www.otodom.pl/pl/oferta/2-pokoje-parking-gratis-12-min-od-centrum-ID4wUdi.html"
"Gdańsk",422700,42.0,10064.285714285714," Odświeżono Dzisiaj o 10:55","‼️2 pokoje + Taras i Ogródek_13 min od Centrum‼️","https://www.otodom.pl/pl/oferta/2-pokoje-taras-i-ogrodek-13-min-od-centrum-ID4wTBg.html"
"Gdańsk",401500,39.79,10090.474993717015," Odświeżono dnia 29 kwietnia 2025","⭐2 pokoje + Garaż⭐ 13 min Centrum","https://www.otodom.pl/pl/oferta/2-pokoje-garaz-13-min-centrum-ID4wYmK.html"
"Gdańsk",483000,47.79,10106.716886377904," 22 kwietnia 2025","2-pokojowe mieszkanie 47m2 + balkon Bezpośrednio","https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-47m2-balkon-bezposrednio-ID4umTh.html"
"Gdańsk",526000,52.0,10115.384615384615," Odświeżono dnia 28 kwietnia 2025","‼️Miejsce w Hali Garażowej Gratis‼️ Nowe 3 pokoje","https://www.otodom.pl/pl/oferta/miejsce-w-hali-garazowej-gratis-nowe-3-pokoje-ID4wUe3.html"
"Gdańsk",750000,74.0,10135.135135135135," 07 kwietnia 2025","⭐Gotowe 4 pokoje + 12min Starówka _ M.PARKINGOWE⭐","https://www.otodom.pl/pl/oferta/gotowe-4-pokoje-12min-starowka-m-parkingowe-ID4wPVF.html"
"Gdańsk",649000,64.0,10140.625," 13 kwietnia 2025","Olimpijska 3pok64m2 bez pośredników balkon piwnica","https://www.otodom.pl/pl/oferta/olimpijska-3pok64m2-bez-posrednikow-balkon-piwnica-ID4wVcW.html"
"Gdańsk",729689,71.89,10150.076505772708," 10 kwietnia 2025","4-pokojowe mieszkanie 71m2 + ogródek Bez Prowizji","https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-71m2-ogrodek-bez-prowizji-ID4ujJ5.html"
"Gdańsk",619000,60.8,10180.92105263158," 26 kwietnia 2025","3 pokoje | do zamieszkania | balkon | piwnica","https://www.otodom.pl/pl/oferta/3-pokoje-do-zamieszkania-balkon-piwnica-ID4v2pF.html"
"Gdańsk",408000,40.0,10200.0," 11 kwietnia 2025","‼️2 pokoje_ 12 min od Centrum ‼️ Hala + komórka","https://www.otodom.pl/pl/oferta/2-pokoje-12-min-od-centrum-hala-komorka-ID4wWii.html"
