"Location","Price","m2","p/m2","Date","Text","hl"
"Gdańsk Chełm, Stanisława Worcella",549000.0,58.5,9384.615384615385,"Zaktualizowano: 10.04.2025","Urokliwe 3 pokojowe mieszkanie w kamienicy","https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/urokliwe-3-pokojowe-mieszkanie-w-kamienicy-ogl65994285.html"
"Gdańsk",500000.0,53.0,9433.962264150943," 10 kwietnia 2025","Gotowe 3 pokoje + M.PARKINGOWE + DNI OTWARTE !","https://www.otodom.pl/pl/oferta/gotowe-3-pokoje-m-parkingowe-dni-otwarte-ID4wTQN.html"
"Gdańsk, Rudniki",439000.0,46.5,9440.860215053763," 04 maja 2025","2 pokoje oddzielna kuchnia po generalnym remoncie","https://www.otodom.pl/pl/oferta/2-pokoje-oddzielna-kuchnia-po-generalnym-remoncie-ID4weXU.html"
"Gdańsk",539000.0,57.0,9456.140350877193," 21 kwietnia 2025","Promocja  539 tyś zł  Cena !!!","https://www.otodom.pl/pl/oferta/promocja-539-tys-zl-cena-ID4g4oq.html"
"Gdańsk",699000.0,73.8,9471.544715447155," 30 kwietnia 2025","3 Pokoje z przepięknym widokiem!","https://www.otodom.pl/pl/oferta/3-pokoje-z-przepieknym-widokiem-ID4vbUw.html"
"Gdańsk Chełm, Henryka Hubertusa Jabłońskiego",699000.0,73.8,9471.544715447155,"Zaktualizowano: 30.04.2025","3 Pokoje z przepięknym widokiem!","https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/3-pokoje-z-przepieknym-widokiem-ogl66069818.html"
"Gdańsk, Nowy Port",439000.0,46.3,9481.641468682506," 17 kwietnia 2025","Sprzedam mieszkanie Falowiec","https://www.otodom.pl/pl/oferta/sprzedam-mieszkanie-falowiec-ID4uQRi.html"
"Gdańsk",629000.0,66.29,9488.61065017348," 21 kwietnia 2025","3-pokojowe mieszkanie 66m2 + ogród","https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-66m2-ogrod-ID4umSk.html"
"Gdańsk Św. Wojciech - Lipce, Starogardzka",629000.0,66.29,9488.61065017348,"Zaktualizowano: dzisiaj","Nowe Południe 3B04: 3 pokoje i ogródek","https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-pierwotny/nowe-poludnie-3b04-3-pokoje-i-ogrodek-ogl66067244.html"
"Gdańsk Osowa",799000.0,83.41,9579.187147824003,"Zaktualizowano: 23.04.2025","LUNA Gdańsk Galaktyczna dwupoziomowe 83 m2 do własnej aranżacji","https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-pierwotny/luna-gdansk-galaktyczna-dwupoziomowe-83-m2-do-wlasnej-aranzacji-ogl65812229.html"
"Gdańsk Jasień, Guderskiego",639000.0,66.61,9593.154181053897,"Zaktualizowano: dzisiaj","Urzeka 4A21: narożne, słoneczne, duży balkon","https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-pierwotny/urzeka-4a21-narozne-sloneczne-duzy-balkon-ogl66063172.html"
"Gdańsk, Pieck",699000.0,72.8,9601.648351648351,"Migowo - 25 kwietnia 2025","Przestronne Mieszkanie Morena Ul. Piecewska - 5 Po","https://www.otodom.pl/pl/oferta/przestronne-mieszkanie-morena-ul-piecewska-5-po-ID4wmqy.html"
"Gdańsk Jasień, Tadeusza Jasińskiego",594694.44,61.87,9612.0,"Zaktualizowano: wczoraj","INPRO S.A. - promocja - optima -  Gotowe do odbioru mieszkanie 3-pok. 61.87 m2 garderoba","https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-pierwotny/inpro-s-a-promocja-optima-gotowe-do-odbioru-mieszkanie-3-pok-61-87-m2-garderoba-ogl65978076.html"
"Gdańsk",449000.0,46.65,9624.86602357985," 07 kwietnia 2025","Słoneczne mieszkanie z widokiem na Martwą Wisłę","https://www.otodom.pl/pl/oferta/sloneczne-mieszkanie-z-widokiem-na-martwa-wisle-ID4wQz4.html"
"Gdańsk, Osowa",485000.0,50.2,9661.354581673306," 25 kwietnia 2025","2 Pokoje 50m2 / Gdańsk Osowa / Od zaraz","https://www.otodom.pl/pl/oferta/2-pokoje-50m2-gdansk-osowa-od-zaraz-ID4wUmy.html"
"Gdańsk Kiełpinek, Przytulna",808641.0,83.52,9682.004310344828,"Zaktualizowano: 17.04.2025","Mieszkanie - Gdańsk Kiełpinek","https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-pierwotny/mieszkanie-gdansk-kielpinek-ogl66046178.html"
"Gdańsk Jasień, Guderskiego",645000.0,66.61,9683.230746134213,"Zaktualizowano: dzisiaj","Urzeka 4A25: duże sypialnie, gaderoba, słoneczne","https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-pierwotny/urzeka-4a25-duze-sypialnie-gaderoba-sloneczne-ogl66063174.html"
"Gdańsk Śródmieście, Łowicka",519000.0,53.4,9719.101123595507,"Zaktualizowano: 22.04.2025","Po remoncie! zadbany budynek! blisko las i morze","https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/po-remoncie-zadbany-budynek-blisko-las-i-morze-ogl65916404.html"
"Gdańsk Śródmieście, Łowicka",519000.0,53.4,9719.101123595507,"Zaktualizowano: 22.04.2025","Po remoncie! zadbany budynek! blisko las i morze","https://ogloszenia.trojmiasto.pl/nieruchomosci-sprzedam-rynek-wtorny/po-remoncie-zadbany-budynek-blisko-las-i-morze-ogl65916403.html"
